-180   -90 

-180   -70 

-180   -50 

-180   -30 

-180   -10 

-180   10 

-180   30 

-180   50 

-180   70 

-180   90 


-160   -90 

-160   -70 

-160   -50 

-160   -30 

-160   -10 

-160   10 

-160   30 

-160   50 

-160   70 

-160   90 


-140   -90 

-140   -70 

-140   -50 

-140   -30 

-140   -10 

-140   10 

-140   30 

-140   50 

-140   70 

-140   90 


-120   -90 

-120   -70 

-120   -50 

-120   -30 

-120   -10 

-120   10 

-120   30 

-120   50 

-120   70 

-120   90 


-100   -90 

-100   -70 

-100   -50 

-100   -30 

-100   -10 

-100   10 

-100   30 

-100   50 

-100   70 

-100   90 


-80   -90 

-80   -70 

-80   -50 

-80   -30 

-80   -10 

-80   10 

-80   30 

-80   50 

-80   70 

-80   90 


-60   -90 

-60   -70 

-60   -50 

-60   -30 

-60   -10 

-60   10 

-60   30 

-60   50 

-60   70 

-60   90 


-40   -90 

-40   -70 

-40   -50 

-40   -30 

-40   -10 

-40   10 

-40   30 

-40   50 

-40   70 

-40   90 


-20   -90 

-20   -70 

-20   -50 

-20   -30 

-20   -10 

-20   10 

-20   30 

-20   50 

-20   70 

-20   90 


0   -90 

0   -70 

0   -50 

0   -30 

0   -10 

0   10 

0   30 

0   50 

0   70 

0   90 


20   -90 

20   -70 

20   -50 

20   -30 

20   -10 

20   10 

20   30 

20   50 

20   70 

20   90 


40   -90 

40   -70 

40   -50 

40   -30 

40   -10 

40   10 

40   30 

40   50 

40   70 

40   90 


60   -90 

60   -70 

60   -50 

60   -30 

60   -10 

60   10 

60   30 

60   50 

60   70 

60   90 


80   -90 

80   -70 

80   -50 

80   -30 

80   -10 

80   10 

80   30 

80   50 

80   70 

80   90 


100   -90 

100   -70 

100   -50 

100   -30 

100   -10 

100   10 

100   30 

100   50 

100   70 

100   90 


120   -90 

120   -70 

120   -50 

120   -30 

120   -10 

120   10 

120   30 

120   50 

120   70 

120   90 


140   -90 

140   -70 

140   -50 

140   -30 

140   -10 

140   10 

140   30 

140   50 

140   70 

140   90 


160   -90 

160   -70 

160   -50 

160   -30 

160   -10 

160   10 

160   30 

160   50 

160   70 

160   90 


180   -90 

180   -70 

180   -50 

180   -30 

180   -10 

180   10 

180   30 

180   50 

180   70 

180   90 


